symptoms,disease
"dog vomiting and not eating, loose stools","Gastroenteritis"
"dog high fever cough and breathing difficulty","Respiratory Infection"
"dog limping after fall, possible fracture","Fracture"
"cat constant itching red rashes skin","Dermatitis"
"dog seizure sudden collapse","Neurological Emergency"
"dog small wound bleeding and deep cut","Trauma"
"cat vomiting hairball but active","Indigestion"
"dog poor appetite lethargy and fever","Respiratory Infection"
"dog swollen leg and limping","Orthopedic Injury"
"cat pale weak bleeding gums","Internal Bleeding"
